Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0003311	Hypoplasia of the odontoid process			PCS	PCS							ISBN-13:978-0721606156	HPO	17.02.2009	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0003414	Atlantoaxial dislocation			PCS	PCS							ISBN-13:978-0721606156	HPO	17.02.2009	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0004577	anterior flattening and/or beaking of vertebrae	HP:0003578	Onset in childhood	PCS	PCS							ISBN-13:978-0721606156	HPO	17.02.2009	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0003025	Irregular metaphyses			PCS	PCS							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=psach	HPO	17.02.2009	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0010582	Irregular epiphyses			PCS	PCS							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=psach	HPO	17.02.2009	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0001498	Carpal bone hypoplasia			PCS	PCS							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=psach	HPO	17.02.2009	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0007145	Cervical cord compression myelopathy			PCS	PCS							ISBN-13:978-0721606156	HPO	17.02.2009	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0008873	Disproportionate short-limb short stature	HP:0003578	Onset in childhood	PCS	PCS							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=psach	HPO	12.07.2010	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0001379	Degenerative joint disease			PCS	PCS							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=psach	HPO	12.07.2010	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0002829	Arthralgia	HP:0003578	Onset in childhood	PCS	PCS							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=psach	HPO	12.07.2010	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0008810	Limited hip abduction/extension			PCS	PCS							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=psach	HPO	12.07.2010	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0002663	Delayed epiphyseal ossification			PCS	PCS							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=psach	HPO	12.07.2010	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0002970	Genu varum			PCS	PCS							ISBN-13:978-0721606156	HPO	12.07.2010	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0002816	Genu recurvatum			PCS	PCS							ISBN-13:978-0721606156	HPO	12.07.2010	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0003026	Short long bones			PCS	PCS							ISBN-13:978-0721606156	HPO	12.07.2010	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0003016	Metaphyseal widening			PCS	PCS							ISBN-13:978-0721606156	HPO	12.07.2010	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0010585	Small epiphyses			PCS	PCS							ISBN-13:978-0721606156	HPO	12.07.2010	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0100168	Fragmented epiphyses			PCS	PCS							ISBN-13:978-0721606156	HPO	12.07.2010	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0009882	Short distal phalanx of finger			PCS	PCS							ISBN-13:978-0721606156	HPO	12.07.2010	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0000772	Abnormality of the ribs			PCS	PCS						change to spatulate ribs later	ISBN-13:978-0721606156	HPO	12.07.2010	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0002758	Osteoarthritis			PCS	PCS							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=psach	HPO	12.07.2010	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0000763	Sensory neuropathy			PCS	PCS							ISBN-13:978-0721606156	HPO	12.07.2010	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0010049	Short metacarpal			PCS	PCS							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=psach	HPO	12.07.2010	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0009803	Short phalanx of finger			PCS	PCS							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=psach	HPO	12.07.2010	
MIM:177170	PSEUDOACHONDROPLASIA	MIM:600310	CARTILAGE OLIGOMERIC MATRIX PROTEIN	MIM:600310 / wt	COMP	HP:0004568	Beaking of vertebral bodies			PCS	PCS							http://www.ncbi.nlm.nih.gov/bookshelf/br.fcgi?book=gene&part=psach	HPO	28.07.2012	
